,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,NE_OH trf_linear _biomass,NE_OH trf_linear _soil,NE_OH trf_linear (constrained)_biomass,NE_OH trf_linear (constrained)_soil,NE_OH trf_soft_l1 _biomass,NE_OH trf_soft_l1 _soil,NE_OH trf_soft_l1 (constrained)_biomass,NE_OH trf_soft_l1 (constrained)_soil,NE_OH trf_huber _biomass,NE_OH trf_huber _soil,NE_OH trf_huber (constrained)_biomass,NE_OH trf_huber (constrained)_soil,NE_OH trf_cauchy _biomass,NE_OH trf_cauchy _soil,NE_OH trf_cauchy (constrained)_biomass,NE_OH trf_cauchy (constrained)_soil,NE_OH trf_arctan _biomass,NE_OH trf_arctan _soil,NE_OH trf_arctan (constrained)_biomass,NE_OH trf_arctan (constrained)_soil,NE_OH dogbox_linear (constrained)_biomass,NE_OH dogbox_linear (constrained)_soil,NE_OH dogbox_soft_l1 _biomass,NE_OH dogbox_soft_l1 _soil,NE_OH dogbox_soft_l1 (constrained)_biomass,NE_OH dogbox_soft_l1 (constrained)_soil,NE_OH dogbox_huber (constrained)_biomass,NE_OH dogbox_huber (constrained)_soil,NE_OH dogbox_cauchy _biomass,NE_OH dogbox_cauchy _soil,NE_OH dogbox_arctan _biomass,NE_OH dogbox_arctan _soil,NE_OH dogbox_arctan (constrained)_biomass,NE_OH dogbox_arctan (constrained)_soil
0,2.1,108.0,2.1,108.0,1.0280307155949732e-36,99.35253426564557,1.1000000000000003,107.00000000000001,147.69857041167478,79.7021928320887,1.1000000018762257,107.00000000000001,1.3324442237336058,94.48779272344066,1.5223922124043419,107.00000000000001,1.86087395828815,97.75567479105456,1.7939657512083416,107.81023695307094,2.047134526189608,99.09118059155033,2.0995946485171264,107.94845405799758,2.0999212122491384,107.99905075145311,249.99999631308035,249.9999989013746,2.0999978076059924,107.99999776667735,2.0999938212812475,107.99999727834768,249.97659552615096,250.12131562473328,249.99998834806598,249.99839620884387,2.099998672646485,107.99998484687768
5,9.0,90.9,18.27905798064543,99.95735061841388,15.837663875396961,93.58962448167071,16.587736395441976,99.17664304346458,147.69857041167478,79.70219253369415,17.386697033741676,99.98108210435268,17.82588495741551,90.43320305430707,17.2306548077988,100.08599168064413,9.363432382803667,90.78753951842747,9.532817187247959,100.31323839826719,9.032840427090035,90.64040672078782,9.000557659898597,97.57685260543336,4.3630259846264945,98.22225763443005,355.4283506247643,228.98502658270573,78.65985290375605,98.19705802669814,14.388266929089617,97.7740694061838,345.20807090154744,230.53420528761094,358.77277850953743,230.18449799365024,91.08267614232348,98.23486111142665
15,44.9,77.3,46.208178422416886,87.46418376859984,45.292257773261206,84.51888604958124,45.640446210157236,86.99232345667545,147.69857041167478,79.70219193690504,46.591060226611056,88.9340123313408,47.13713794588537,83.98598874143292,46.08170899793243,89.15171139111695,37.66077742420225,79.95231450827669,34.49757970190758,88.140125730803,30.737170167087747,78.50826812051591,44.89958994388211,79.72739284557389,17.52769532308719,81.75386103977172,423.77253957545804,194.74495241765135,304.82190067410363,87.2087056955139,103.62278898621933,82.18384775383622,413.08548157378914,198.4354311371016,429.41927699953925,197.07976670475472,341.67231513377186,87.73480778981096
25,73.8,72.4,71.82512505390412,78.93831353995535,72.07823910744585,78.25617321492157,72.2471378706932,78.6999871476726,147.69857041167478,79.70219134011593,72.84759837650998,81.23399386569392,73.28986292744675,79.43864475957602,72.32340517707021,81.49124965841187,73.7521045651223,73.86994831420965,66.96284421181133,80.01334002739443,53.171999938654395,72.69758815595797,73.80052612381488,65.14308465815918,57.414450814952815,70.01341662605147,431.53919704064674,167.36019654265243,393.217095862455,84.6019323136427,233.3405460174115,75.15560514238514,423.07980233978265,172.5761554583231,437.331997807151,169.98860649962148,425.22260472133155,85.36235656278662
35,98.0,71.8,95.62338381231494,73.62869894210066,96.45795507331489,74.3162696190724,96.56794808825259,73.55189509228103,147.69857041167478,79.70219074332682,96.73125723990452,76.2601447021246,96.9831674098884,76.49002013280253,96.32047886852278,76.51686453622534,102.6182366619414,71.89321985795114,97.96044815963087,75.64289388300955,68.50156331395326,71.45057920131099,82.3887849013265,53.22664303095522,129.88432808273137,64.68628708672333,432.287885548362,145.04740718736474,405.8214732462279,84.07858583177475,300.8664414863767,74.37670224360767,424.33480552784084,151.29293289552515,438.0804474651854,147.50133522170586,435.99034072372086,84.79025215026924
45,120.0,73.1,117.68428130163866,70.9152581102128,118.6542638031362,72.28555442347225,118.76495548537613,70.92169878981169,147.69857041167478,79.70219014653772,118.54786166650554,73.50210600339108,118.594354736995,74.89039135774715,118.29179916234371,73.73611309427434,120.15118885910749,72.46816227993877,122.12033906683885,74.15518031406376,76.85999865726012,72.60463362523441,84.19871180513732,43.49004262250407,194.99705355579167,65.94408637248597,432.358817409446,126.82221716660867,407.24369451387435,83.85751577401143,322.20782576450705,75.78274864587294,424.4889317976436,133.71134205431565,438.150012815633,128.80156088660013,437.13817090350256,84.48468234240944
55,138.6,74.9,138.03416053002744,70.27432981323747,138.86462997380403,71.81169158593258,138.996483788906,70.2866330333592,147.69857041167478,79.70218954974861,138.5118951762148,72.53427435478854,138.38213291933616,74.42714969382801,138.40609799049167,72.73342885577948,129.35974080692398,74.24984632327039,138.70278394155955,74.54562554357774,80.93620380087839,74.69226353988765,84.5512874847251,35.53453119722845,226.51269181607802,70.79261108828634,432.3655264702775,111.93147645929511,407.39945331225795,83.69988210416456,327.92186028334464,77.52945477320038,424.50780755341583,119.17949460476598,438.1564680145161,113.248158788727,437.2578404733943,84.25209575644627
65,156.1,76.8,156.7058647642897,71.26275966988172,157.26666673032116,72.59508758575201,157.4146983601394,71.21201828220114,147.69857041167478,79.7021889529595,156.79384821136034,73.00018273248047,156.5442772696992,74.91733631174095,156.80816105160568,73.15773359740197,133.86168879969293,76.43328772470504,149.24186466882614,75.99007563507783,82.82303037889046,76.96037524419066,84.61890366430029,29.034299146752545,237.33796221578243,76.36942044212044,432.36616094446777,99.76471072743438,407.41645516015444,83.57359872971978,329.3836477702583,79.11339650226765,424.5101184700787,107.16738162473314,438.1570669223427,100.3114315155895,437.27028770847727,84.06383507926589
75,172.4,78.7,173.7509606338337,73.50694689845503,174.02124228401186,74.38160702582205,174.16434864999124,73.33788882147995,147.69857041167478,79.7021883561704,173.53855550840498,74.60105883747897,173.2415477399701,76.2027064256958,173.6286590271428,74.71280501493759,135.9889534545646,78.62202953527566,155.64240182119877,77.92497154886276,83.67596043682673,79.08602616882095,84.63183194450833,23.72313629984981,240.59716267865784,81.4808072617944,432.3662209456415,89.82358236661,407.41831032284125,83.47069047801563,329.75324384773734,80.44747836509914,424.5104013786634,97.23797473807052,438.1571224877114,89.55112705678044,437.27158207167525,83.91019747070793
85,187.8,80.6,189.23924154072876,76.69392476227488,189.27457924341684,76.95629755921341,189.38209478297796,76.36749987043152,147.69857041167478,79.70218775938129,188.87371655787607,77.08677903650792,188.60968809477947,78.14607114401812,188.98837044436604,77.14935257595243,136.97829323116838,80.64811152339881,159.4279610304444,80.00702770165668,84.05744680022676,80.95800239551352,84.63430242008602,19.383529564694136,241.53840340956262,85.84908756438392,432.3662266198452,81.70095719229218,407.4185127415583,83.38663689116086,329.8464144417942,81.54759136253854,424.51043601291065,89.03015150205027,438.1571276429388,80.60109025545032,437.2717166665144,83.78468360362565
95,202.2,82.2,203.25470171526356,80.5635783661556,203.15984377562123,80.13796048777908,203.19619240366876,80.0574746554323,147.69857041167478,79.70218716259218,202.91434238387188,80.2484478973942,202.76622263964938,80.62840733860484,203.0001234951193,80.25832502260556,137.43504560470814,82.4553457886701,161.63292747906414,82.04533061140012,84.22726628894117,82.55840312506957,84.63477445327196,15.837754908812386,241.8069289889104,89.49689113698798,432.3662271564444,75.06418108709485,407.4185348275782,83.31796225858598,329.8698839837597,82.44900167342203,424.51044025290344,82.24541791747342,438.15712812122905,73.15676917615684,437.27173066237197,83.68213163714007
105,215.6,83.7,215.89089911969214,84.90167899014583,215.7984371907336,83.77444368952915,215.72641875330123,84.20937471011587,147.69857041167478,79.70218656580307,215.7652908557648,83.91219038589996,215.81465614515955,83.54648435167691,215.76972941756884,83.86518197124643,137.64520464473733,84.03785772370598,162.9060131152037,83.94394038171885,84.30270283238526,83.90632369593322,84.63486464264314,12.94059885814036,241.88326864611832,92.51926601669696,432.3662272071897,69.64145181039544,407.418537237395,83.26185044031186,329.8757948113778,83.18615876329785,424.51044077197156,76.6370354849864,438.1571281656037,66.96484865570585,437.27173211773226,83.59833942212627
115,228.2,85.3,227.24671707899807,89.53360840514601,227.3010937820186,87.73855751663457,227.08416825294444,88.66250124009895,147.69857041167478,79.70218596901397,227.52282955877413,87.93390037979667,227.847249306688,86.81086662860763,227.3964587955549,87.82495614169133,137.74175207028824,85.41046479175637,163.6373658117096,85.66236175433073,84.33618165606417,85.03283025296409,84.63488187467296,10.57341143182653,241.90494977708173,95.01674209919778,432.3662272119885,65.21068717967485,407.4185375003313,83.2160030383558,329.877283388376,83.78863076479983,424.510440835517,72.00104597967422,438.15712816972064,61.814630208861416,437.2717322690679,83.52987510344832
125,239.9,86.7,237.4228458123917,94.31871547530451,237.7688407998248,91.92453077806746,237.37266863453414,93.28775888864347,147.69857041167478,79.70218537222486,238.2756753150076,92.194769165912,238.94695528538438,90.34420521687358,237.97331772312782,92.01798183037849,137.78607450061958,86.59508633083941,164.05629985638666,87.190805767175,84.3510334372812,85.97046157114798,84.63488516710777,8.639246956979378,241.91110566480057,97.07858170026249,432.36622721244225,61.59042988621451,407.41853752902045,83.17854237719551,329.8776582656458,84.28093479721603,424.51044084329635,68.16885390453488,438.1571281701026,57.53086235948665,437.2717322848046,83.47393477266458
