,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,NE_OP trf_linear _biomass,NE_OP trf_linear _soil,NE_OP trf_linear (constrained)_biomass,NE_OP trf_linear (constrained)_soil,NE_OP trf_soft_l1 _biomass,NE_OP trf_soft_l1 _soil,NE_OP trf_soft_l1 (constrained)_biomass,NE_OP trf_soft_l1 (constrained)_soil,NE_OP trf_huber _biomass,NE_OP trf_huber _soil,NE_OP trf_huber (constrained)_biomass,NE_OP trf_huber (constrained)_soil,NE_OP trf_cauchy _biomass,NE_OP trf_cauchy _soil,NE_OP trf_cauchy (constrained)_biomass,NE_OP trf_cauchy (constrained)_soil,NE_OP trf_arctan _biomass,NE_OP trf_arctan _soil,NE_OP trf_arctan (constrained)_biomass,NE_OP trf_arctan (constrained)_soil,NE_OP dogbox_linear _biomass,NE_OP dogbox_linear _soil,NE_OP dogbox_linear (constrained)_biomass,NE_OP dogbox_linear (constrained)_soil,NE_OP dogbox_soft_l1 _biomass,NE_OP dogbox_soft_l1 _soil,NE_OP dogbox_soft_l1 (constrained)_biomass,NE_OP dogbox_soft_l1 (constrained)_soil,NE_OP dogbox_huber (constrained)_biomass,NE_OP dogbox_huber (constrained)_soil,NE_OP dogbox_cauchy _biomass,NE_OP dogbox_cauchy _soil,NE_OP dogbox_cauchy (constrained)_biomass,NE_OP dogbox_cauchy (constrained)_soil,NE_OP dogbox_arctan _biomass,NE_OP dogbox_arctan _soil,NE_OP dogbox_arctan (constrained)_biomass,NE_OP dogbox_arctan (constrained)_soil
0,4.2,126.6,4.2,126.6,1.7095159632404193,116.78125124275287,3.2000000000000006,125.60000000000001,0.34032662330419355,112.43526885746974,3.2000000041964536,125.60000000000082,0.10332312355191116,112.3766887646356,3.2000000000000006,125.60000000000001,145.90890481197246,90.57490317457716,4.555413627937218,126.14412313485813,4.202962700185639,110.42896152303042,4.216642571987557,126.56664178376357,249.5918447614981,249.77782297473686,4.19993235706005,126.5995981928481,249.99999466778476,249.9999988017789,4.199941967649371,126.59999231562165,3.6791232102542493,125.6,249.577449375713,247.2709599897853,4.199999272798469,126.59999820394862,249.99872191846194,251.47656424332644,4.19999889899686,126.599986957711
5,10.4,110.7,12.97710026555277,120.60471895294505,11.903069560686243,113.24923102640389,12.909993893115194,119.98248736251038,11.086014945718754,110.22610164864876,13.022243323654408,120.7422407642009,10.920473342751277,110.21379546074523,13.185150625917407,120.725500471095,144.48263145827082,92.00116952035856,4.5554136279369875,125.59238088033486,10.393365997484983,105.78644834640653,10.366481721261383,118.87663070353334,243.28921022313,237.89802524111977,7.8612047425478515,114.87019654976704,352.0252546641987,231.98966321945468,7.531074416464046,114.83937302339905,13.266726182541849,120.81990613525613,345.13336326834565,229.10333161324124,11.022615396212036,121.03428442714788,358.5044819115036,227.41726188448035,95.46737664929005,115.21937806188507
15,30.3,99.4,31.24602715594155,111.01906424113432,32.06984254478577,107.69345343215046,32.426455411744726,111.0638066515403,32.00690113758598,106.82650097060748,32.570612899796245,112.96138660002835,31.946375369721743,106.8896329910099,32.88300243390788,112.93888863493531,141.67177433798386,94.81201277594435,4.555413627936526,124.49612561845382,30.305695559572655,99.42087150263444,30.305075951860836,106.91480844236968,236.37346697433134,216.7791508683847,25.127603253000515,96.02486774158265,418.03601706638494,204.73336836284753,22.493413094149957,95.7202486097558,32.532920384993965,113.13453490545764,417.1779221193949,201.3350756227325,28.709989533867084,111.97237613584846,429.687058803885,186.0571528486912,345.0139800495997,103.01800214898908
25,51.5,97.6,50.16433143442702,104.46025800730462,51.604469704138,104.01515274647726,51.75377680558654,104.99719276622525,51.75829386408894,104.69329431463352,51.69216607949895,107.56833933284308,51.755522716772745,104.80944698736707,51.94395643289459,107.5548475893457,138.9156014221094,97.56817202536699,4.555413627936064,123.40943921410042,51.50155311928956,97.63471306376225,59.54134624839344,100.44779378603539,233.2865147342325,199.06846791503204,64.64544208206037,84.67224315717988,425.65147284726083,183.61613265383542,56.45974525455797,83.38252831897796,51.56727601081019,107.78176561271859,428.68077708129954,179.95423587324652,49.55102584061643,105.85588412426546,437.74906252928133,152.27203901253415,424.7703484901146,100.15770614792982
35,70.5,99.3,68.73280919029142,100.6498242843,69.98141902347896,102.02807575940069,70.16832639837098,101.46216162102014,70.03497156023454,103.70153003146521,69.82592545946814,104.3074261363616,70.05424443787128,103.84940950256826,69.93853363560052,104.3020065067378,136.21304884931084,100.27071112610594,4.555413627935602,122.33223814381296,63.46976796701328,99.19073706932915,85.18673150703145,99.46851127996368,231.88883339740593,184.39309678076427,120.80079633668447,82.74231193933493,426.4001807754924,166.4857723137619,108.43545691464752,79.46119113920577,69.72738500154041,104.52760033801457,430.2621918592008,162.67974113069712,70.47855655066735,102.60257602668167,438.5177193418662,124.66311286651506,434.17373281888024,99.30044088306488
45,87.2,102.1,86.11130671880579,99.2309172125971,86.81853409677315,101.52208619933131,87.12254473452043,100.10016333516049,86.65558797112037,103.71784040887692,86.54623674774744,102.89767301669607,86.67433602856768,103.87804756286472,86.52617621382011,102.89506009473921,133.5630734552877,102.92067323867974,4.55541362793514,121.26443961317902,67.96543020762799,102.09494301734416,97.52531790468811,101.76317256490024,231.25188981337044,172.3094005943718,166.1892677053722,89.14603576312105,426.4725390582849,152.50111508475084,156.70617091298666,83.68516912539586,86.52052974609293,103.10455488485188,430.474936489108,148.5917971946224,89.22976571051107,101.83570551889218,438.5896954767874,102.1000961619614,435.08570394219447,98.760049393579
55,101.5,105.1,101.75928843417238,99.80350532987457,101.89837952400639,102.27690170262943,102.29611194551977,100.54017236109321,101.53730915455853,104.60689365572374,101.5988669844933,103.04941121894413,101.5447467873047,104.7625479674635,101.49206099048652,103.04605234863834,130.9646523701218,105.51908122929795,4.555413627934678,120.20596155047181,69.38238659727175,105.24752356587202,101.49958860921936,105.03863674782814,230.96076504205303,162.39376997962498,189.4436486338445,99.59401589180253,426.479520390501,141.07579993127567,185.3708281978001,92.7318710173633,101.64680856201453,103.23037528976027,430.5034724879888,137.084491772746,104.72917124172484,103.02600307896192,438.59642375197694,83.66066408194389,435.1723083059201,98.33386644319111
65,115.3,108.3,115.42081419312436,101.96200250499905,115.1468830981588,104.07473290808213,115.56542452342731,102.4222660786916,114.67840912165771,106.23646934547335,114.88117316659694,104.47988296164867,114.67284226434143,106.3736023209362,114.74260087937134,104.47602571702542,128.41678262345778,108.06693806467949,4.555413627934216,119.15672260034208,69.80333691564225,108.26629048187786,102.58694102250342,108.2818599738452,230.82752172324612,154.27259932097175,198.67241897066435,110.50549743080647,426.48019386052675,131.7405982912428,198.19056888357431,103.03733606627227,114.97778888843983,104.62581191155076,430.5072985843189,127.68266426367528,116.83436136503937,105.62574226723781,438.59705260572616,68.59118537337858,435.1805159917387,97.98708284176267
75,125.9,111.1,127.05970745561453,105.32442974045286,126.59983494225148,106.70996843291071,126.95346797477482,105.41466495889539,126.14051308879705,108.48136323161852,126.40752773442503,106.92503554645984,126.12630248391665,108.5890670581905,126.28493433495592,106.92454739984119,125.91848075736439,110.56522719919,4.5554136279337545,118.11664211756514,69.92616320539148,111.05152482228614,102.87014900093871,111.21849303858546,230.76650048681503,147.6281398109297,201.95667895326923,120.31714586791402,426.4802588273268,124.11306975430658,203.19361172755032,112.68116155782045,126.51729132792948,107.02816933061773,430.5078115587312,120.00075087101162,125.92121206366588,109.15135491623518,438.59711138024517,56.275773150697944,435.18129370301455,97.70385697092176
85,135.4,113.6,136.7856464524746,109.55074560507941,136.3680846456906,109.99558790827356,136.57952793155675,109.22387304104832,136.03066449335407,111.22614163126443,136.27302002774982,110.14709167917293,136.0154607691816,111.29650267426138,136.200598257427,110.15629418287101,123.46878244672726,113.01491295444767,4.555413627933293,117.08564016084235,69.96181285275983,113.59170198600808,102.94294462050867,113.81175554817794,230.73854674739115,142.1950690860208,203.07943109804222,128.64703615632158,426.4802650943893,117.88082465151125,205.04088194864897,121.02627956627467,136.35990536322498,110.20009596521899,430.5078803340195,113.72407694043575,132.55683019076665,113.21647530218783,438.5971168734768,46.21109987474849,435.18136739295016,97.47244025965387
95,143.9,115.9,144.79031362304474,114.35153492396186,144.60697562481226,113.7666285321349,144.61708216073197,113.59900646724859,144.48466155347825,114.36681844187193,144.62156794671674,113.93837084900682,144.47722572351864,114.39468814446161,144.61953209787822,113.96468439310226,121.06674212702686,115.41694089154375,4.555413627932831,116.06363748665679,69.97214406163386,115.89990036268556,102.96159205097966,116.08530061894997,230.72573951374682,137.7539931232495,203.45794818433365,135.5594988373215,426.4802656989453,112.7886267532349,205.70889579076118,128.0150447252188,144.65467173959988,113.93413740830363,430.507889554822,108.59557850807413,137.310749568308,117.53328411645137,438.5971173868895,37.98582520030603,435.18137437522927,97.28334603933008
105,151.4,118.0,151.30005095688009,119.48954798921983,151.49233404245075,117.88131339252219,151.26240672749992,118.33185670904156,151.65285987663373,117.81160154689147,151.6208679576946,118.1221867178284,151.66155471908775,117.79426329515296,151.69783186623673,118.17298732298146,118.711432629358,117.7722381760219,4.555413627932369,115.0505555431826,69.97513669379784,117.99485678300101,102.9663646099172,118.0743509916164,230.71987142538993,134.12445778278067,203.58495867954755,141.24325545179312,426.48026575726414,108.62793033295829,205.9486403821341,133.786705937919,151.57680702344942,118.05399756536337,430.50789079106806,104.40522205354607,140.6718986757145,121.89884401507203,438.5971174348745,31.263784491839832,435.1813750368151,97.12883329245294
115,157.9,119.9,156.54464797052304,124.77665959970487,157.20327970421397,122.22051054924538,156.71333322856995,123.2541878392248,157.68903670701042,121.48090066241816,157.4444137854023,122.55169836103279,157.72093047829873,121.41768585026423,157.60061973067528,122.63352607407342,116.40194482254985,120.08171393575688,4.555413627931907,114.04631646424737,69.97600345490481,119.8955632425086,102.96758580747294,119.81343513401049,230.71718267912547,131.1584723457045,203.62750927169645,145.89929261968095,426.48026576288987,105.22833843112586,206.03444840310223,138.52455688238544,157.30766296163176,122.41351202033705,430.5078909568134,100.98139576412899,143.02677621067488,126.1770540549593,438.59711743935935,25.770249859213692,435.18137509950174,97.00257768835439
125,163.5,121.6,160.73906956861282,130.0683486240274,161.91101793729413,126.68612614813992,161.1562640982027,128.23349412404636,162.74235923599494,125.30679911929825,162.25968028089923,127.10748945596448,162.80281366238722,125.19869448806611,162.49004244565387,127.22560258967052,114.1373872622483,122.34625961187085,4.555413627931445,113.05084306334733,69.97625448699169,121.61982606742261,102.96789826828372,121.33369270222403,230.715950685583,128.7348672306256,203.64175684667651,149.70763124339848,426.48026576343256,102.45062433367232,206.0651303348632,142.40359071180276,162.0217725690327,126.89421203864055,430.5078909790351,98.18388041032073,144.6663248299323,130.2815383449699,438.59711743977846,21.28070210596936,435.1813751054414,96.89941157984397
