,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,SC_OP trf_linear _biomass,SC_OP trf_linear _soil,SC_OP trf_linear (constrained)_biomass,SC_OP trf_linear (constrained)_soil,SC_OP trf_soft_l1 (constrained)_biomass,SC_OP trf_soft_l1 (constrained)_soil,SC_OP trf_huber (constrained)_biomass,SC_OP trf_huber (constrained)_soil,SC_OP trf_cauchy _biomass,SC_OP trf_cauchy _soil,SC_OP trf_cauchy (constrained)_biomass,SC_OP trf_cauchy (constrained)_soil,SC_OP trf_arctan (constrained)_biomass,SC_OP trf_arctan (constrained)_soil,SC_OP dogbox_linear _biomass,SC_OP dogbox_linear _soil,SC_OP dogbox_linear (constrained)_biomass,SC_OP dogbox_linear (constrained)_soil,SC_OP dogbox_soft_l1 _biomass,SC_OP dogbox_soft_l1 _soil,SC_OP dogbox_soft_l1 (constrained)_biomass,SC_OP dogbox_soft_l1 (constrained)_soil,SC_OP dogbox_huber (constrained)_biomass,SC_OP dogbox_huber (constrained)_soil,SC_OP dogbox_cauchy _biomass,SC_OP dogbox_cauchy _soil,SC_OP dogbox_cauchy (constrained)_biomass,SC_OP dogbox_cauchy (constrained)_soil,SC_OP dogbox_arctan _biomass,SC_OP dogbox_arctan _soil,SC_OP dogbox_arctan (constrained)_biomass,SC_OP dogbox_arctan (constrained)_soil
0,4.2,64.4,4.2,64.4,3.6525648093987875,59.95395454079061,3.5322130417788533,63.40000000000001,3.7809196187842584,63.40000000000001,3.7614735730506403,63.40000000000001,480.07521945225903,180.56729831997382,4.028224778504402,63.40000000000001,4.2441414407114,64.27456141462794,249.82122701630504,249.8638467966129,4.199819828199617,64.40218139575923,249.9998705282885,249.9999620791488,4.201296792222374,64.40937405547544,4.200000517001189,64.40086462131549,249.999930631468,249.99990799863326,4.19999896384864,64.39997035691583,249.99997836803993,249.99995247725823,4.199988986824489,64.39759163508074
5,13.1,58.2,14.690676056182935,63.036946548624385,14.348977285109632,59.75484677448598,14.299593038011597,62.32222089978422,14.51939346751947,62.5020589257376,14.437989033525815,62.544655621228515,13.895644341557103,165.73123470453837,14.699860696602368,62.683268223496086,12.988932289942177,61.009588393665496,310.8153144639426,227.69787948526957,8.944541534897924,58.60826091362915,360.04402860722195,227.54008959672808,8.55366098918695,58.78660521459087,11.183178029168184,60.77937671400606,360.6578630820551,227.92383402008042,43.44100904047716,60.498471930036416,361.07185136943014,228.96337763451004,206.52637815849653,60.377243588979375
10,25.1,57.6,24.93838930729606,61.94667475517241,24.7797324769673,59.662026687333125,24.78042556274801,61.47469285150456,24.93155957476214,61.79940221677793,24.845969024284184,61.87581641351306,1.2256458071778906,152.11313291503606,25.045685573375707,62.12656777492149,25.133850602325605,58.890498898243024,348.10119414707106,208.00084155114382,18.421864835848993,53.80407741785426,412.65095998239883,207.0980009080781,13.958630374115817,54.1613013025232,25.165861547527697,57.86915277957933,413.55070388106674,207.7971729281483,105.17622582497441,58.120504778425946,414.1246668021198,209.86560542778946,448.1919508093177,57.80803102051917
15,35.4,57.9,34.90070315957608,61.11657640063971,34.88308538678091,59.67208783152554,34.91718210850718,60.84681114461052,34.993519555922525,61.28311536420703,34.928402740983636,61.38576799807502,0.18401044105449552,139.61399219858498,35.056445075497194,61.72310846039458,37.26069164983992,58.060094323440566,368.2955077630739,190.3936194162631,35.955985588078654,50.29908963734007,431.61755594607496,188.4924193188814,20.570581009652926,50.54479856282538,45.622386414022436,55.993357240741986,432.5883357190806,189.44778312708877,157.50220775003785,57.430654632166394,433.18731223104396,192.46512379860764,672.8514952618448,56.685993095835535
20,45.1,58.5,44.54118708048547,60.533427766428055,44.61931053204474,59.78112730510096,44.673276191617006,60.42723808096269,44.68455504847663,60.94404540620734,44.64749017009291,61.06612853967607,0.03822736906288549,128.14190290310614,44.71200098954824,61.46597125758815,44.996606208963016,58.25511951520771,378.5472054058552,174.58218638519028,64.77859664520753,48.60558100761466,437.71174876581745,171.5583539430445,28.498625939012648,47.96068668139463,66.45313041815193,55.30761956171627,438.6916507407545,172.7187238691577,184.0765937237297,57.838904630167505,439.28656156056303,176.57944514776395,831.0160890261965,56.69955808831021
25,54.1,59.2,53.828858696431496,60.18353525147012,53.96088424627045,59.984917862357335,54.02392156598616,60.2042384588046,53.9870478916555,60.77285710983614,53.97629956026365,60.90810457347721,0.009920953111687383,117.61247529441418,53.99201264761532,61.34803412647984,48.325369068332726,58.972356951026995,383.5838933504008,160.3420535325313,104.87987351484084,49.335769092789135,439.5948075065762,156.14563659377194,37.760767983609654,46.43757781156379,81.65946818809739,55.618158863518836,440.5730784506799,157.46691295394086,194.16500842352693,58.69517419876031,441.1629768398462,162.06526530671673,919.066784532802,57.391178983557175
30,62.3,60.0,62.73821599164669,60.052872497745625,62.88903063015844,60.27901487114432,62.952791705786076,60.16588876921712,62.88674608446251,60.76009053091162,62.89590557801876,60.90265363424722,0.003031745141873357,107.94825125864924,62.878897063931525,61.36199218724528,49.47183729435948,59.85630109374991,386.0190029948122,147.4955568179396,150.21220817077779,52.88152822989257,440.1695374134314,142.11759011962,48.23344129936983,45.997892563087184,90.3785397996934,56.54112257180169,441.14594991304347,143.561902958639,197.555498114615,59.665672796086334,441.7331896754563,148.80051586410934,961.1743923646067,58.390894251418324
35,70.9,60.8,71.24926518683068,60.12721526077825,71.39191449187655,60.658836373254005,71.45023087515177,60.300231479576446,71.37296766166205,60.89622189308982,71.39390752494347,61.04060852607178,0.0010505669321679756,99.07813705534413,71.35894660292907,61.500407123211495,49.83283322878787,60.75596405256564,387.18721331504196,135.89560978492537,191.28540959106243,59.06421212564266,440.34428918645966,129.3498163765782,59.61509380355122,46.643249549637275,94.71266720793868,57.74927924013625,441.31972488439135,130.88476553251616,198.64710579075071,60.62749625253632,441.90581756682184,136.67651579095423,979.7598428751418,59.48635305097121
40,79.4,61.6,79.34744249492039,60.39227274948847,79.4634608738148,61.11972771779546,79.51207354601547,60.59539675958729,79.43868852610585,61.17172616911029,79.46345136394915,61.3127792860532,0.00040234771029107596,90.93688065379867,79.42271938303053,61.75576709901769,49.943133717351955,61.622084389549535,387.745563554933,125.4160532175166,221.80056736829377,67.14011887854416,440.39736285946003,117.72909308813739,71.42968505037517,48.339128345407964,96.71529783111924,59.04828578180026,441.3723773810497,119.32707421297708,198.99365676752436,61.54258616340389,441.9580198285304,125.59482017862004,987.6629194331682,60.577767463719596
45,87.3,62.4,87.02341426408525,60.83381285292758,87.10246256104747,61.65701546216916,87.13875271862425,61.03970123587617,87.08051348393293,61.57713932446013,87.10247000932121,61.71003919512316,0.00016720939327719578,83.46459177121763,87.06506099840034,62.12054910599098,49.97652047525073,62.44155086380923,388.01195462582785,115.94617091155945,241.30392510916118,76.17811136992,440.41347616653957,107.15236981090156,83.08856536852511,51.0035632368996,97.60938391500247,60.34274806096743,441.38832513945044,108.78997706338792,199.1031831928439,62.40166510034814,441.9738002178445,115.46571818397773,990.9693953386911,61.624013512429364
50,94.2,63.2,94.27276615246866,61.437778667412466,94.31184015458783,62.2660528238884,94.33456656930495,61.6217286967135,94.29854355054526,62.10311831990293,94.31303125467231,62.22339780345238,7.438621002910239e-05,76.60630130878114,94.28491237650032,62.587279447846505,49.986597407013974,63.2126009063223,388.13894300237496,107.38748603566165,252.59381914208504,85.4147815016953,440.4183676891269,97.52585410215073,94.00215223771548,54.505008994230806,98.0024246580012,61.59110524853499,441.3931549996763,99.18335120099141,199.13774955495037,63.204568536499444,441.9785700244145,106.2072925893763,992.343284773219,62.610562895086105
55,101.0,63.9,101.095601992282,62.19039415530494,101.09799537886265,62.942257965962135,101.10704451956134,62.3303956723393,101.09615735700885,62.74049726177347,101.10074775180716,62.84406258368634,3.505763023057797e-05,70.31155698052794,101.08498693774544,63.14858986227819,49.98963623790607,63.936811600007715,388.1994537539221,99.65175082800067,258.7563011279782,94.36713821210313,440.41985256253355,88.76417978565625,103.7005188103337,58.67187323500075,98.17402949444751,62.7774468716063,441.3946177008743,90.42503198366657,199.148653749516,63.95384195919303,441.98001170853985,97.74469240679258,992.9125219273004,63.53415054302648
60,108.0,64.5,107.49607665255445,63.07825733747759,107.47023074212825,63.68114595241776,107.46638479858785,63.15500388518918,107.47972609075819,63.48033843258864,107.4742308582123,63.56349026285944,1.7361942482361854e-05,64.53405216740619,107.47136951138472,63.79726779314549,49.990552397921896,64.61664195238419,388.2282819446247,92.65956290394017,262.01217024697877,102.78425847285367,440.42030330714266,80.7896499400824,111.91227184038736,63.311402944963525,98.24873008070874,63.89733048418953,441.3950606689966,82.440110262834,199.15209306514078,64.65271245409087,441.98044745645996,90.00950810214563,993.1480907994353,64.39605655315552
65,113.4,65.2,113.48188753944102,64.0884200285802,113.44022347340814,64.47835500726391,113.42494995099392,64.08528110724616,113.45828137545173,64.31397728761715,113.44458235020599,64.37342866248783,8.97675495980785e-06,59.231285267845706,113.45307363936314,64.52629999604059,49.99082858409735,65.25469521987917,388.2420148469962,86.33932365297143,263.7027218660238,110.56312035162892,440.42044013368803,73.53154789693413,118.57554931247195,68.23171387319796,98.28120538658571,64.95123226037879,441.3951948181881,75.16029169197145,199.15317781869513,65.30445863551343,441.9805791605545,82.93921265444584,993.2455288383719,65.19927200585329
70,118.7,65.8,119.0637477018925,65.20845370389515,119.02154849774739,65.32966761863922,118.99681357203734,65.11141172765528,119.0431543882229,65.23306084199014,119.02492328697252,65.26594980591632,4.82009776955384e-06,54.36424703933994,119.04158417992997,65.32890913395038,49.99091184137923,65.85350360958671,388.24855651162,80.62639694419413,264.5725818596847,117.68277483087628,440.420481668265,66.92551013810723,123.79278784929294,73.2603464354881,98.29531570029334,65.94163398444542,441.39523544411287,68.52331261096059,199.15351994306832,65.91222276132905,441.9806189678666,76.4766543273019,993.2858237871809,65.94732756510378
75,124.5,66.4,124.25486062258682,66.4265016012,124.22924819187156,66.23102698926509,124.19735469972098,66.22405820530429,124.24760265377044,66.22957918197284,124.22996125888523,66.23347504427055,2.6762180633125847e-06,49.897133631130124,124.25040522399112,66.19858336694172,49.990936939396406,66.41547038794842,388.25167256698205,75.46239654506923,265.01807096039744,124.16366469091602,440.42049427634913,60.912955532011104,127.762247761291,78.25552052173444,98.30144503396644,66.87175205951564,441.39524774732024,62.47240751037416,199.15362784644083,66.47896175834764,441.9806309995477,70.56959414864963,993.3024861295704,66.64381880941909
80,129.2,66.9,129.07041323172382,67.7313175896562,129.0794477139035,67.1785493147867,129.042897578601,67.41437450029059,129.08643860907526,67.29589010269451,129.07559754485612,67.26879296425487,1.5308864602837753e-06,45.797083196989405,129.09462796284956,67.12909919351524,49.99094450521039,66.94285904223865,388.25315685350097,70.7945648437634,265.2456760848749,130.0450460561661,440.4204981036127,55.44056584683508,130.71577419107172,83.10981470633733,98.30410725097393,67.74499125090405,441.3952514732391,56.955823520971826,199.15366187827956,67.00744138269657,441.9806346360992,65.17028348215938,993.3093759254222,67.29222057124684
85,133.4,67.5,133.52709991305784,69.1122926714858,133.58901480065202,68.1685323582578,133.5503948584377,68.67401251580355,133.57567143591723,68.42473709697416,133.57857520282943,68.3650708514967,8.994841068526356e-07,42.0339341505419,133.5905287680715,68.11453798094445,49.99094678592857,67.43779622229873,388.25386386791337,66.57522214959589,265.36181929657226,135.37318102500797,440.4204992654027,50.45981293424486,132.8766565361014,87.74826504582398,98.30526350560753,68.56471496941563,441.395252601601,51.92637777587481,199.15367261163763,67.50024333784707,441.9806357352396,60.23507801036286,993.3122247807144,67.89582031645612
90,137.8,68.0,137.64268659716143,70.5594702213233,137.77526259465048,69.19746077473737,137.73715219495946,69.9951225235493,137.73217101403966,69.6092610938048,137.75616829347638,69.51586048266253,5.414311557974382e-07,38.58000328475312,137.75520413959524,69.14929674127548,49.990947473452,67.90227845455158,388.2542006413373,62.7612740913344,265.4210481686732,140.1954291976281,440.4204996180715,45.926528390661055,134.43801376877013,92.12343990139756,98.30576568023288,69.33415297186126,441.39525294331554,47.34105385957658,199.15367599684873,67.95977587466717,441.9806360674525,55.72408492900666,993.3134027442205,68.45770009025308
