,NE_MBB,NE_OH,NE_OP,SC_OH,SC_OP,SC_SLP,SE_SLP,SE_LSP
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.1,2.1,4.2,4.2,4.2,4.1,4.1,4.1
1,4.594492644248188,5.734475267665262,5.962454626051521,6.210846854633659,6.315256212843313,5.791513589524432,5.684133222789034,5.422864512904336
2,6.9345801746211855,9.043632899373751,7.711102141064599,8.16056816540588,8.422381344754061,7.788355262353395,7.548015446231663,6.9885050175229555
3,9.2025481415476,12.207518905539024,9.459269270040798,10.078258826871588,10.520929702997707,10.131985762801325,9.731932828595157,8.833874985027926
4,11.425193549080078,15.277753025391792,11.213455076772137,11.977963988738063,12.610490680069086,12.864289148406959,12.27833810168658,10.998472389510992
5,13.615317262905565,18.27905798064543,12.97710026555277,13.867597529417536,14.690676056182935,16.025387191102624,15.230422088920072,13.523200587766846
6,15.780080064136497,21.225770719425824,14.752028113132662,15.75199831800988,16.76111407394467,19.650730600563755,18.63001214420656,16.44861955920709
7,17.923839971949977,24.127124787204412,16.539111742512784,17.63425904200301,18.82144627689574,23.76749445449035,22.514704181743937,19.812481285986
8,20.049379631954157,26.989477127249444,18.338624160582462,19.51639444961385,20.87132568255964,28.39043698150235,26.91420608955735,23.646497485447583
9,22.158521229225823,29.8174107022817,20.150439014216083,21.39971269009973,22.910415673818033,33.517555658275754,31.845994329277858,27.972390822979072
10,24.252466962885187,32.61434244421982,21.974153826695776,23.2850373995559,24.93838930729606,39.126069389175946,37.31056662807848,32.79743957602281
11,26.332001835326864,35.382885486583746,23.809169860243873,25.172848268615645,26.954928877359567,45.16942390674159,43.286798648450066,38.10993377960121
12,28.397621353425,38.12507806598969,25.654746237087718,27.063374134704905,28.95972564307789,51.576092310668756,49.72814080444657,43.87518724005077
13,30.449615554369064,40.84253501376888,27.510038031392973,28.956656966967845,30.952479661987788,58.25085212171131,56.56055059831105,50.03293268466528
14,32.48812628761263,43.536551830636576,29.37412396950478,30.852597236413633,32.932899695073,65.07891869071095,63.68305155432164,56.496978948049744
15,34.51318741763265,46.208178422416886,31.24602715594155,32.7509869530371,34.90070315957608,71.93281890251613,70.97155669106098,63.15784012877358
16,36.52475373041083,48.85827270844281,33.12473097418072,34.6515342816679,36.855616113803016,78.68129974851409,78.28606592188042,69.88861080146113
17,38.52272214317862,51.48754046280972,35.00919155680555,36.55388225548565,38.79737326291252,85.19905383986527,85.48062263513998,76.55370506132097
18,40.506947534463485,54.09656548923713,36.89834775506673,38.4576232568356,40.725717977873344,91.37578873606797,92.41469144085623,83.01936220118323
19,42.477254729730824,56.68583285326447,38.79112924324997,40.36231040031387,42.64040232193794,97.12327747210159,98.96415359585204,89.16428858966358
20,44.43344768592281,59.25574702820237,40.68646320138188,42.26746660698928,44.54118708048547,102.37948086522165,105.03011235282924,94.88867361280299
21,46.375316599786125,61.80664624912162,42.58327989198177,44.17259192901896,46.42784179115519,107.10947720816802,110.54419418990342,100.12017042989416
22,48.30264345367533,64.3388139955131,44.48051735965336,46.077169528226726,48.30014477196482,111.30356195064651,115.46985811078702,104.8161579546332
23,50.2152063693248,66.85248826927817,46.377125422131364,47.980670604568544,50.15788314567878,114.97331349337212,119.80009195245994,108.96243941499925
24,52.11278304107983,69.34786915859816,48.272069079046496,49.882558494663215,52.00085285911839,118.14658436533557,123.5525058683534,112.56920583509083
25,53.995153450410946,71.82512505390412,50.16433143442702,51.78229210641342,53.828858696431496,120.8622978740076,126.76308760154377,115.66542746303077
26,55.862102013723316,74.28439779295952,52.052916207065046,53.679328816462316,55.64171428559049,123.16570157414526,129.47978527534622,118.29281847984399
27,57.71341927933533,76.72580694711269,53.93684988683921,55.573126928361106,57.4392420975842,125.10445460305762,131.75676431826614,120.50025809858826
28,59.54890326293187,79.14945341283588,55.81518358320391,57.463147767845896,59.22127343792526,126.72568337069441,133.64980227529293,122.33919391668526
29,61.3683604910247,81.5554224368505,57.68699460315877,59.34885747546478,60.987648430219686,128.07396716267016,135.21295431855182,123.86022324604002
30,63.17160680706894,83.94378617607067,59.55138778928447,61.229728544515055,62.73821599164669,129.19011681230992,136.49639670837112,125.1108098300119
31,64.95846798356506,86.31460587292908,61.40749664329321,63.10524114282534,64.47283380028026,130.11057160995247,137.54523780133272,126.13395911882982
32,66.72878017478142,88.66793371071236,63.254484256581584,64.97488424961917,66.19136825425196,130.867241707959,138.39905158562473,126.96762601024753
33,68.48239023799425,91.00381440113468,65.0915440661906,66.83815663299735,67.89369442281236,131.4876468680271,139.09190533827385,127.644635027869
34,70.21915594587499,93.32228654665032,66.91790045215409,68.69456768909077,69.57969598939536,131.9952339489142,139.65269384249095,128.1929272641647
35,71.93894610850512,95.62338381231494,68.73280919029142,70.54363816037728,71.24926518683068,132.40978680580804,140.10563945276746,128.63599187379543
36,73.64164062020414,97.90713593587776,70.53555777295416,72.38490074781564,72.90230272488324,132.74786918117843,140.4708601144472,128.99338133829502
37,75.32713044372191,100.17356959987414,72.32546560897973,74.21790062916344,74.53871771032698,133.02326234955754,140.76494207246225,129.281244098032
38,76.99531754222664,102.42270918552106,74.10188411307058,76.04219589399649,76.15842755978497,133.2473748941194,141.00147977770516,129.51283421007003
39,78.64611476780165,104.65457742499746,75.86419669395464,77.85735790443931,77.76135790558787,133.42961288793933,141.19156346568084,129.69897614161295
40,80.27944571376413,106.86919596605986,77.61181864995217,79.66297158938046,79.34744249492039,133.57770596585445,141.34420668012706,129.84847510880712
41,81.89524453697113,109.0665858607836,79.34419697994777,81.45863567892704,80.91662308253913,133.69798927986898,141.46671328431938,129.9684710820851
42,83.4934557553313,111.24676798843606,81.06081011721946,83.24396288500574,82.46884931735731,133.7956439421578,141.56498763137273,130.0647390652378
43,85.07403402495689,113.40976342100917,82.76116759309379,85.01858003331151,84.00407862320138,133.87489989847606,141.643793619125,130.1419405856457
44,86.63694390073665,115.55559373870521,84.44480963696286,86.78212815121061,85.52227607405163,133.93920569637243,141.7069691061826,130.2038322911339
45,88.1821595835633,117.68428130163866,86.11130671880579,88.53426251570302,87.02341426408525,133.9913696357635,141.75760214433404,130.2534376802493
46,89.70966465698869,119.79584948314877,87.76025903999552,90.27465266512198,88.50747317284329,134.03367652942507,141.798175039605,130.29318766143783
47,91.21945181569143,121.89032286938624,89.39129597783598,92.00298237788338,89.97444002584682,134.06798389816623,141.83068161243833,130.32503507611148
48,92.71152258781096,123.96772742921696,91.00407548896065,93.71894962128255,91.42430915098737,134.09580096796606,141.85672232205286,130.3505476744431
49,94.18588705292154,126.02809065795877,92.59828347642603,95.42226647306396,92.85708183101798,134.11835337685244,141.87758122848697,130.37098338455897
50,95.64256355717832,128.0714416980173,94.17363312505238,97.11265901825132,94.27276615246866,134.13663606719248,141.8942881288234,130.38735111073694
51,97.08157842696131,130.09781143910237,95.72986420929467,98.78986722351716,95.67137685130905,134.15145644886996,141.90766863958441,130.40045975540434
52,98.50296568216484,132.10723260037494,97.26674237767018,100.4536447911869,97.05293515567686,134.16346957591486,141.9183845098198,130.41095768998568
53,99.90676675012581,134.09973979659063,98.7840584175211,102.10375899480921,98.41746862598735,134.17320678349745,141.9269660360726,130.41936449967676
54,101.29303018105037,136.0753695900594,100.28162750365448,103.73999049807806,99.76501099273355,134.18109898081704,141.93383810454236,130.42609649151814
55,102.66181136568224,138.03416053002744,101.75928843417238,105.36213315876113,101.095601992282,134.18749558389274,141.93934109919707,130.4314871763582
56,104.01317225585395,139.97615318090234,103.21690285658562,106.96999381917034,102.40928720096188,134.19267989568374,141.94374767891568,130.43580370563404
57,105.34718108847358,141.90139014058164,104.65435448709299,108.56339208460304,103.70611786773922,134.19688159446042,141.94727623403816,130.43926005585894
58,106.66391211342118,143.8099160500029,106.07154832570389,110.14216009108344,104.98615074575983,134.20028687037092,141.9501016758227,130.44202760046983
59,107.96344532576016,145.70177759491074,107.4684098696869,111.70614226364467,106.24944792303741,134.20304665062613,141.9523640850434,130.44424358427798
60,109.24586620260868,147.5770235007281,108.84488432763828,113.25519506630776,107.49607665255445,134.2052832720988,141.95417564298987,130.4460179150461
61,110.51126544496204,149.43570452132306,110.20093583628477,114.78918674483796,108.72610918203547,134.2070958933391,141.9556261850016,130.44743860536227
62,111.75973872470989,151.27787342237932,111.53654668196157,116.30799706328663,109.93962258364257,134.2085648834568,141.95678764966485,130.4485761323871
63,112.99138643705005,153.10358496000376,112.85171652854166,117.81151703526122,111.1366985838348,134.2097553808329,141.9577176428704,130.44948693023892
64,114.20631345846304,154.9128958551388,114.14646165343487,119.2996486508031,112.31742339362282,134.2107201783889,141.9584622925665,130.45021618730814
65,115.40462891037879,156.7058647642897,115.42081419312436,120.77230459969543,113.48188753944102,134.21150206265676,141.9590585352045,130.45080008666557
66,116.5864459286369,158.48255224702424,116.67482139956552,122.2294079919679,114.63018569484971,134.21213570991821,141.9595359469062,130.45126760032642
67,117.75188143881613,160.24302073065707,117.90854490863651,123.6708920763145,115.7624165132696,134.21264922320233,141.95991820994016,130.45164192614249
68,118.90105593748468,161.9873344724887,119.12206002170045,125.09669995709122,116.87868246194151,134.21306537810955,141.9602242870944,130.45194163845665
69,120.03409327940298,163.71555951993412,120.3154550012178,126.5067843105155,117.97908965729411,134.21340263258566,141.96046936210072,130.45218160951083
70,121.15112047069091,165.42776366884132,121.48883038123292,127.90110710064536,119.0637477018925,134.21367594534715,141.96066559269818,130.45237374726224
71,122.252267467956,167.12401642027203,122.64229829344961,129.27963929567545,120.13276952313062,134.21389743920173,141.96082271365177,130.4525275861763
72,123.33766698336387,168.80438893598927,123.77598180950959,130.64236058504855,121.18627121382087,134.21407693864833,141.96094851961496,130.4526507602863
73,124.40745429561922,170.4689539928737,124.8900142999917,131.98925909784398,122.22437187482434,134.21422240557823,141.96104925177357,130.45274938197636
74,125.46176706681399,172.11778593646852,125.98453881056126,133.32033112286982,123.24719345985564,134.21434029238668,141.96112990744078,130.45282834527322
75,126.50074516508938,173.7509606338337,127.05970745561453,134.63558083085246,124.25486062258682,134.2144358281477,141.96119448795557,130.45289156869015
76,127.52453049304926,175.36855542587261,128.11568082968682,135.93501999908585,125.24750056616574,134.21451325053866,141.96124619717838,130.4529421896694
77,128.53326682185408,176.9706490792791,129.15262743681998,137.21866773887317,126.22524289525464,134.21457599379752,141.96128760042842,130.45298272026912
78,129.52709963091823,178.5573217382377,130.17072313801873,138.48655022606494,127.1882194706864,134.2146268410476,141.96132075174552,130.45301517181915
79,130.50617595312693,180.12865487599763,131.1701506168637,139.73870043497158,128.136564266827,134.21466804774326,141.9613472957894,130.45304115473002
80,131.4706442254838,181.68473124642898,132.1510988632921,140.97515787590237,129.07041323172382,134.21470144171283,141.96136854943057,130.4530619584076
81,132.42065414509577,183.22563483565935,133.1137626755054,142.19596833655922,129.98990415011195,134.21472850423402,141.96138556707967,130.453078615239
82,133.35635653039773,184.75145081387896,134.05834217991566,143.4011836274907,130.8951765093419,134.2147504357382,141.96139919299725,130.45309195182392
83,134.27790318751633,186.26226548739365,134.98504236899885,144.5908613317905,131.78637136828516,134.2147682090578,141.96141010317754,130.45310262999453
84,135.18544678166944,187.75816625099748,135.89407265688436,145.76506455920384,132.6636312292655,134.2147826125783,141.96141883888498,130.45311117965872
85,136.07914071349546,189.23924154072876,136.7856464524746,146.92386170478633,133.52709991305784,134.21479428520877,141.96142583350647,130.45311802509673
86,136.95913900020514,190.7055807870672,137.65998074985635,148.0673262122419,134.37692243698893,134.21480374472227,141.96143143405214,130.45312350601617
87,137.8255961614464,192.1572743686235,138.51729573573795,149.19553634204874,135.21324489616725,134.21481141072292,141.96143591837077,130.45312789440987
88,138.67866710977287,193.59441356636708,139.3578144136202,150.3085749444665,136.0362143478637,134.2148176232585,141.96143950893392,130.45313140805374
89,139.51850704560493,195.01709051843272,140.18176224438764,151.4065292375031,136.8459786990582,134.21482265790425,141.9614423838732,130.45313422131386
90,140.34527135657217,196.42539817554228,140.98936680298695,152.4894905899045,137.64268659716143,134.21482673798673,141.96144468581727,130.4531364737995
91,141.15911552112632,197.8194302570731,141.78085745084243,153.5575543092183,138.42648732391558,134.21483004448996,141.96144652896808,130.45313827729132
92,141.96019501631338,199.19928120780142,142.55646502364516,154.6108194349685,139.19753069247272,134.21483272408378,141.96144800476623,130.4531397212884
93,142.74866522959405,200.56504615534453,143.31642153413898,155.64938853696864,139.95596694764407,134.21483489562948,141.96144918642764,130.45314087744975
94,143.5246813746029,201.91682086832347,144.0609598895185,156.67336751878733,140.70194666930928,134.21483665545244,141.96145013257578,130.45314180315046
95,144.28839841073605,203.25470171526356,144.79031362304474,157.68286542637247,141.43562067896954,134.2148380816148,141.96145089015008,130.4531425443288
96,145.03997096645966,204.57878562424906,145.5047166394792,158.6779942618287,142.15713994942544,134.2148392373783,141.96145149673458,130.45314313776612
97,145.77955326623123,205.8891700433438,146.20440297393262,159.65886880233555,142.86665551755485,134.21484017401025,141.96145198242263,130.45314361291202
98,146.50729906092795,207.1859529017892,146.88960656372112,160.62560642418435,143.5643184001642,134.2148409330578,141.9614523713097,130.4531439933458
99,147.22336156167677,208.46923257198745,147.56056103282265,161.5783269319052,144.2502795128817,134.2148415481907,141.96145268268887,130.45314429794672
100,147.9278933769833,209.73910783227655,148.21749948852485,162.5171523924476,144.92468959205846,134.21484204669503,141.96145293200803,130.45314454183077
101,148.62104645305698,210.99567783050236,148.86065432985816,163.4422069743726,145.5876991196411,134.21484245068345,141.96145313163615,130.45314473710076
102,149.3029720172325,212.23904204838962,149.490257067409,164.3536167920079,146.23945825097496,134.2148427780761,141.961453291477,130.45314489344707
103,149.97382052438874,213.469300266715,150.10653815411175,165.25150975451214,146.88011674549676,134.21484304339543,141.96145341946044,130.45314501862845
104,150.63374160626864,214.6865525312813,150.70972682662224,166.1360154197897,147.50982390027144,134.21484325841053,141.96145352193594,130.4531451188571
105,151.28288402360394,215.89089911969214,151.30005095688009,167.00726485319257,148.12872848632685,134.21484343265897,141.96145360398734,130.4531451991069
106,151.92139562095247,217.08244050892543,151.87773691347263,167.86539049094264,148.73697868773803,134.2148435738701,141.96145366968534,130.4531452633603
107,152.54942328415586,218.26127734370175,152.4430094324203,168.71052600820258,149.33472204341015,134.21484368830772,141.9614537222893,130.4531453148059
108,153.1671129003286,219.42751040564391,152.99609149700822,169.54280619172212,149.92210539150938,134.2148437810481,141.96145376440887,130.4531453559967
109,153.77460932029004,220.581240583223,153.5372042262983,170.36236681698205,150.49927481648805,134.214843856205,141.96145379813373,130.45314538897685
110,154.37205632335466,221.7225688424845,154.06656677196125,171.16934452975667,151.0663755986503,134.21484391711223,141.96145382513703,130.45314541538298
111,154.9595965843959,222.85159619854855,154.5843962230781,171.9638767320128,151.62355216620284,134.21484396647153,141.96145384675836,130.4531454365255
112,155.53737164310238,223.96842368787713,155.09090751856706,172.74610147206147,152.17094804973507,134.21484400647233,141.96145386407042,130.45314545345363
113,156.10552187534606,225.0731523413003,155.5863133669016,173.51615733887724,152.70870583907194,134.21484403888903,141.9614538779321,130.45314546700746
114,156.6641864665852,226.16588315779367,156.07082417279346,174.2741833604981,153.23696714244215,134.21484406515955,141.961453889031,130.45314547785952
115,157.21350338722542,227.24671707899807,156.54464797052304,175.02031890641862,153.75587254790435,134.2148440864492,141.9614538979178,130.45314548654844
116,157.75360936986527,228.31575496447243,157.00799036360914,175.7547035938868,154.2655615869733,134.21484410370238,141.96145390503344,130.45314549350536
117,158.28463988835418,229.37309756767075,157.46105447051818,176.47747719801623,154.766172700388,134.21484411768438,141.96145391073085,130.45314549907556
118,158.80672913859243,230.41884551263269,157.9040408761232,177.18877956562315,155.25784320596375,134.21484412901538,141.96145391529276,130.4531455035354
119,159.32001002100512,231.45309927137842,158.33714758863033,177.8887505326985,155.74070926846989,134.21484413819806,141.96145391894544,130.45314550710629
120,159.82461412462362,232.475959141997,158.7605700017013,178.57752984542492,156.2149058714755,134.2148441456397,141.96145392187012,130.45314550996537
